Id,org,tld,ccs,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,day,month,hour
0,116,130,0,0,20,99,0,1,196,2259,44,21,117
1,221,41,0,0,1,240,0,0,207,5696,40,18,1160
2,245,2,1,2,0,1,1,0,245,7287,41,15,174
3,327,120,0,0,38,221,0,0,227,2300,40,21,1066
4,283,41,0,0,38,177,0,0,173,5105,44,20,1071
5,245,2,0,0,0,187,1,0,195,2996,41,24,853
6,192,41,0,5,41,281,1,0,256,14792,41,18,748
7,32,41,0,0,82,256,1,1,250,10401,45,18,1040
8,88,74,0,0,38,2,0,0,3,10703,44,15,225
9,245,2,16,0,0,0,1,0,196,4301,45,22,343
10,345,78,0,0,0,216,1,0,181,1629,40,14,452
11,221,41,0,5,38,113,0,0,189,15248,42,14,1047
12,487,41,0,0,9,227,0,1,196,15880,42,23,154
13,477,41,0,0,6,230,0,0,232,15753,40,20,482
14,221,41,0,5,16,267,0,0,190,5937,44,20,1159
15,187,41,0,0,38,68,0,0,182,1177,40,15,1374
16,129,41,0,0,4,269,1,1,203,17468,45,25,558
17,241,130,0,0,78,220,0,1,177,9797,45,20,1080
18,493,41,0,0,38,101,1,0,195,6596,42,23,187
19,245,2,0,0,0,210,1,0,8,10702,41,24,311
20,521,41,0,0,23,19,1,0,233,16083,44,20,997
21,245,2,0,0,0,251,1,1,215,64,41,25,369
22,245,2,16,3,0,0,0,0,235,10619,46,15,158
23,283,41,0,0,82,267,1,1,161,17693,46,21,62
24,477,41,0,0,6,230,0,1,216,15357,40,21,618
25,432,41,0,0,1,24,0,0,199,1316,46,16,534
26,283,41,0,0,38,187,0,0,208,4662,44,17,1101
27,245,2,0,2,38,158,1,1,245,8835,41,16,277
28,245,2,0,0,0,273,1,0,211,7165,40,23,583
29,219,41,0,5,15,215,0,0,173,10425,45,24,1155
30,493,41,0,0,38,101,0,0,199,7192,46,15,1022
31,419,79,0,0,31,22,0,0,207,851,41,19,1400
32,245,2,0,2,0,112,0,0,15,3938,43,19,162
33,32,41,0,0,27,225,1,1,5,9749,44,20,1202
34,65,41,0,0,27,273,1,0,23,6185,40,21,1358
35,346,41,0,0,4,266,0,1,223,15138,41,21,422
