Id,org,tld,ccs,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,label,day,month,hour
0,coursera,org,0,multipart/alternative,23,188,0,1,38,136818,0,Thu,Mar,1.95
1,google,com,0,multipart/alternative,1,6,0,0,44,2467,0,Fri,Jan,5.333333333333333
2,iiitd,ac.in,1,multipart/mixed,0,1,1,0,78,2809449,2,Mon,Aug,10.9
3,na,na,0,multipart/alternative,4,43,0,0,61,13775,0,Fri,Mar,3.7666666666666666
4,linkedin,com,0,multipart/alternative,4,26,0,0,29,22601,1,Thu,Jun,3.85
5,iiitd,ac.in,0,multipart/alternative,0,28,1,0,37,15848,2,Mon,Oct,21.216666666666665
6,flipkartletters,com,0,text/html,42,97,1,0,88,68612,3,Mon,Jan,2.466666666666667
7,amazon,com,0,multipart/alternative,9,74,1,1,82,41354,0,Tue,Jan,3.3333333333333335
8,classroom,google.com,0,multipart/alternative,4,10,0,0,101,4294,0,Thu,Aug,11.75
9,iiitd,ac.in,3,multipart/alternative,0,0,1,0,38,2004,2,Tue,May,13.716666666666667
10,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,15.533333333333333
11,google,com,0,text/html,4,20,0,0,35,7156,0,Sat,Apr,3.45
12,udacity,com,0,multipart/alternative,14,49,0,1,38,76759,3,Sat,Nov,10.566666666666666
13,topcoder,com,0,multipart/alternative,12,51,0,0,66,75677,0,Fri,Jun,16.033333333333335
14,google,com,0,text/html,20,84,0,0,36,25021,0,Thu,Jun,5.316666666666666
15,facebookmail,com,0,multipart/alternative,4,16,0,0,33,11372,1,Fri,Aug,8.9
16,datacamp,com,0,multipart/alternative,11,86,1,1,41,88241,3,Tue,Sep,17.3
17,ieee,org,0,multipart/alternative,8,42,0,1,30,38690,0,Tue,Jun,4.0
18,usebackpack,com,0,multipart/alternative,4,19,1,0,37,26965,0,Sat,Nov,11.116666666666667
19,iiitd,ac.in,0,multipart/alternative,0,35,1,0,106,42937,2,Mon,Oct,13.183333333333334
20,youtube,com,0,multipart/alternative,26,115,1,0,67,78421,1,Thu,Jun,23.616666666666667
21,iiitd,ac.in,0,multipart/alternative,0,7,1,1,50,10044,2,Mon,Sep,14.15
22,iiitd,ac.in,3,multipart/related,0,0,0,0,69,4254160,2,Wed,Aug,10.633333333333333
23,linkedin,com,0,multipart/alternative,9,84,1,1,26,89712,1,Wed,Mar,1.0333333333333334
24,topcoder,com,0,multipart/alternative,12,51,0,1,51,72438,0,Fri,Mar,18.3
25,slack,com,0,multipart/alternative,1,12,0,0,39,11601,0,Wed,Dec,16.9
26,linkedin,com,0,multipart/alternative,4,28,0,0,45,21103,1,Thu,Feb,4.35
27,iiitd,ac.in,0,multipart/mixed,4,24,1,1,78,34048351,2,Mon,Dec,12.616666666666667
28,iiitd,ac.in,0,multipart/alternative,0,9,1,0,48,27804,2,Fri,Nov,17.716666666666665
29,godaddy,com,0,text/html,2,39,0,0,29,41441,0,Tue,Oct,5.25
30,usebackpack,com,0,multipart/alternative,4,19,0,0,39,27855,0,Wed,Aug,3.033333333333333
31,send,grammarly.com,0,multipart/alternative,33,118,0,0,44,108661,3,Mon,Jul,9.333333333333334
32,iiitd,ac.in,0,multipart/mixed,0,2,0,0,112,1868,0,Sun,Jul,10.7
33,amazon,com,0,multipart/alternative,3,47,1,1,103,38446,0,Thu,Jun,6.033333333333333
34,bookmyshow,com,0,multipart/alternative,3,9,1,0,12,25787,0,Fri,Mar,8.633333333333333
35,nvidia,com,0,multipart/alternative,11,83,0,1,58,70863,0,Mon,Mar,15.033333333333333
36,send,grammarly.com,0,multipart/alternative,35,120,0,0,27,112320,3,Tue,May,7.433333333333334
37,iiitd,ac.in,0,multipart/alternative,2,6,1,0,80,8081,2,Mon,Feb,10.866666666666667
38,classroom,google.com,0,multipart/alternative,6,14,0,0,105,6318,0,Mon,Nov,22.233333333333334
39,amazon,in,0,multipart/alternative,3,37,0,1,82,19627,3,Sat,Jul,2.25
40,bookmyshow,email,0,multipart/mixed,0,0,0,0,12,276063,0,Thu,May,17.816666666666666
41,flipkartletters,com,0,multipart/alternative,21,64,0,0,76,44044,3,Thu,Nov,0.65
42,iiitd,ac.in,3,multipart/alternative,0,0,1,0,39,1697,2,Mon,Dec,16.566666666666666
43,usebackpack,com,0,multipart/alternative,4,19,0,0,37,27148,0,Tue,Aug,14.816666666666666
44,quora,com,0,multipart/alternative,15,104,0,1,65,100175,1,Thu,Mar,17.533333333333335
45,topcoder,com,0,multipart/alternative,2,36,1,0,68,41371,0,Wed,Jul,10.15
46,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,15.466666666666667
47,amazon,in,0,multipart/alternative,29,256,0,0,31,116494,3,Mon,Jul,6.716666666666667
48,twitter,com,0,multipart/alternative,16,140,0,0,70,84727,1,Tue,Sep,12.283333333333333
49,udacity,com,0,multipart/alternative,10,36,1,0,74,48813,3,Fri,Nov,10.383333333333333
50,amazon,in,0,multipart/mixed,0,0,0,0,113,4,3,Thu,Sep,6.55
51,gmail,com,0,multipart/alternative,0,9,0,0,116,11608,0,Sun,Mar,8.45
52,linkedin,com,0,multipart/alternative,17,71,0,1,91,78901,1,Wed,Sep,18.5
53,google,com,0,text/html,6,28,0,0,36,8863,0,Tue,Feb,4.266666666666667
54,usebackpack,com,0,multipart/alternative,4,17,0,0,34,31414,0,Wed,Sep,21.033333333333335
55,mentor,com,0,multipart/alternative,4,17,0,0,88,7653,3,Wed,Oct,22.0
56,na,na,0,text/plain,0,1,0,0,51,465,0,Wed,Nov,13.533333333333333
57,udacity,com,0,multipart/alternative,12,41,1,0,57,58294,3,Fri,Jul,8.6
58,plus,google.com,0,multipart/alternative,14,43,0,0,35,15033,1,Thu,Aug,3.05
59,mentor,com,0,multipart/alternative,0,10,0,0,40,3545,3,Tue,Mar,12.183333333333334
60,topcoder,com,0,multipart/alternative,14,83,1,1,156,116910,3,Fri,Aug,18.8
61,iiitd,ac.in,0,multipart/alternative,0,7,1,0,10,3990,2,Sat,Jun,10.166666666666666
62,reply,ebay.in,0,multipart/alternative,34,128,0,0,57,79385,3,Sat,Oct,10.6
63,iiitd,ac.in,1,multipart/alternative,0,0,1,0,24,313,2,Tue,Aug,19.233333333333334
64,brilliant,org,0,multipart/alternative,3,17,1,0,43,36122,0,Thu,May,21.35
65,quora,com,0,multipart/alternative,7,89,1,0,68,90366,0,Mon,Dec,17.666666666666668
