,org,tld,ccs,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,day,month,hour
0,187,3,16,0,1,57,1,0,178,8643,4,10,57
1,387,91,0,0,0,216,0,0,178,724,6,19,119
2,127,26,0,0,1,233,1,0,167,5109,6,18,242
3,83,65,0,4,6,217,0,0,132,2325,2,15,1393
4,171,26,0,0,24,185,0,0,167,1507,4,17,295
5,72,26,0,0,67,200,1,0,173,2287,3,18,619
6,214,26,0,6,0,109,1,0,127,7185,6,17,751
7,187,3,0,0,0,109,0,0,202,2922,6,19,378
8,187,3,1,0,0,184,1,0,161,8540,7,11,718
9,334,26,0,0,13,13,0,0,198,931,5,20,1161
10,187,3,13,0,0,184,1,0,159,8550,7,11,459
11,72,26,0,0,67,203,0,0,173,566,3,12,1253
12,18,26,0,0,1,156,0,0,140,3176,3,10,54
13,81,90,0,0,35,198,1,0,29,2215,2,19,894
14,241,26,0,0,35,99,0,0,150,6179,7,14,140
15,187,3,1,0,1,35,1,1,230,1382,7,20,1072
16,305,26,0,0,1,263,1,1,198,7710,5,13,1094
17,151,26,0,4,0,109,1,0,164,2804,4,17,56
18,380,26,0,0,24,176,0,0,169,1824,4,9,1367
19,405,26,0,0,20,274,0,0,7,7373,7,13,1044
20,76,78,0,0,8,230,1,0,178,5079,2,12,455
21,151,24,0,4,13,89,1,0,183,7349,1,11,1398
22,380,26,0,0,32,141,0,0,193,8352,1,20,884
23,81,90,0,0,57,176,0,1,186,3121,7,15,1260
24,22,26,0,1,0,0,0,0,145,5108,4,9,1301
25,83,102,0,0,29,52,0,0,185,3786,2,9,1096
26,405,26,0,0,15,254,0,0,196,6625,3,15,98
27,292,90,0,0,16,216,0,0,161,2654,0,15,282
28,305,26,0,0,1,17,1,0,187,8396,1,10,370
29,187,3,15,1,0,0,0,0,192,6038,1,13,465
30,6,32,0,0,19,272,1,0,199,5421,2,16,145
31,305,26,0,0,13,270,1,0,229,7900,5,13,1113
32,255,83,0,6,0,109,1,0,173,8018,6,10,398
33,83,102,0,0,21,27,0,0,176,2575,2,9,1160
34,272,26,0,0,10,229,0,1,196,7219,5,20,239
35,246,26,0,5,1,218,1,0,96,873,0,20,693
36,386,26,0,0,35,99,0,0,161,3648,1,20,191
37,187,3,0,1,0,109,0,0,198,4299,1,11,170
38,121,88,0,4,57,191,0,0,171,4494,6,20,660
39,344,32,0,0,0,92,1,0,153,8725,7,14,625
40,240,26,0,0,17,116,1,1,92,8460,2,11,1284
41,218,26,0,0,61,112,0,0,165,190,2,20,1316
42,151,24,0,4,13,267,0,0,163,1947,7,13,1163
43,163,26,0,0,16,251,0,1,217,7773,6,17,184
44,305,26,0,0,71,14,1,0,231,8094,4,18,1343
45,255,83,0,4,1,109,1,0,203,681,7,15,892
46,83,65,0,4,11,226,0,0,151,2983,2,15,1243
47,22,26,0,1,0,0,0,0,163,5108,7,20,801
48,22,58,0,1,0,0,0,0,164,5108,1,15,61
49,241,26,0,0,0,24,0,0,178,5600,1,20,1429
50,187,3,13,0,1,221,0,0,112,1256,2,18,459
51,5,90,0,0,1,219,0,0,185,2183,4,15,983
52,227,85,0,0,3,226,0,0,173,5031,1,20,1394
53,187,3,15,0,0,0,0,0,45,1126,7,10,887
54,151,26,0,4,1,233,1,0,185,7714,5,15,1269
55,115,26,0,4,0,0,1,0,173,6627,7,11,223
56,22,58,0,1,0,0,0,0,233,5108,2,9,160
57,187,3,13,0,0,109,1,0,157,2046,6,15,176
58,405,26,0,0,14,246,0,0,59,6177,7,14,261
59,325,47,0,4,5,199,0,0,127,3313,6,4,785
60,79,26,0,0,13,57,1,0,178,949,7,18,579
61,22,58,0,1,0,0,0,0,173,5108,1,15,1171
62,62,40,0,0,0,207,1,0,179,6581,5,13,520
63,241,26,0,0,0,2,0,0,182,4989,7,14,1195
64,121,116,0,4,2,214,0,0,90,5475,5,17,1375
65,81,90,0,0,46,126,1,0,138,857,4,11,669
66,325,47,0,4,2,119,0,0,227,6615,2,13,793
67,81,90,0,0,67,191,0,0,164,3143,5,19,615
68,232,26,0,4,9,156,0,0,179,8194,0,19,1348
69,53,26,0,4,57,46,1,0,149,4377,4,15,1071
70,405,26,0,0,17,262,0,0,4,6965,6,19,699
71,149,26,0,0,0,138,0,0,157,7287,6,12,124
72,187,3,0,0,0,233,1,0,182,8346,2,18,326
