,org,tld,ccs,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,day,month,hour,label
0,113,126,0,0,23,188,0,1,38,136818,4,16,1.95,0
1,214,39,0,0,1,6,0,0,44,2467,0,13,5.333333333333333,0
2,238,2,1,2,0,1,1,0,78,2809449,1,10,10.9,2
3,317,116,0,0,4,43,0,0,61,13775,0,16,3.7666666666666666,0
4,275,39,0,0,4,26,0,0,29,22601,4,15,3.85,1
5,238,2,0,0,0,28,1,0,37,15848,1,19,21.216666666666665,2
6,186,39,0,6,42,97,1,0,88,68612,1,13,2.466666666666667,3
7,32,39,0,0,9,74,1,1,82,41354,5,13,3.333333333333333,0
8,86,71,0,0,4,10,0,0,101,4294,4,10,11.75,0
9,238,2,3,0,0,0,1,0,38,2004,5,17,13.716666666666667,2
10,335,75,0,0,0,4,1,0,32,1210,0,9,15.533333333333333,0
11,214,39,0,6,4,20,0,0,35,7156,2,9,3.45,0
12,475,39,0,0,14,49,0,1,38,76759,2,18,10.566666666666666,3
13,465,39,0,0,12,51,0,0,66,75677,0,15,16.033333333333335,0
14,214,39,0,6,20,84,0,0,36,25021,4,15,5.316666666666666,0
15,182,39,0,0,4,16,0,0,33,11372,0,10,8.9,1
16,126,39,0,0,11,86,1,1,41,88241,5,20,17.3,3
17,234,126,0,0,8,42,0,1,30,38690,5,15,4.0,0
18,481,39,0,0,4,19,1,0,37,26965,2,18,11.116666666666667,0
19,238,2,0,0,0,35,1,0,106,42937,1,19,13.183333333333335,2
20,507,39,0,0,26,115,1,0,67,78421,4,15,23.61666666666667,1
21,238,2,0,0,0,7,1,1,50,10044,1,20,14.15,2
22,238,2,3,3,0,0,0,0,69,4254160,6,10,10.633333333333333,2
23,275,39,0,0,9,84,1,1,26,89712,6,16,1.0333333333333334,1
24,465,39,0,0,12,51,0,1,51,72438,0,16,18.3,0
25,421,39,0,0,1,12,0,0,39,11601,6,11,16.9,0
26,275,39,0,0,4,28,0,0,45,21103,4,12,4.35,1
27,238,2,0,2,4,24,1,1,78,34048351,1,11,12.616666666666667,2
28,238,2,0,0,0,9,1,0,48,27804,0,18,17.716666666666665,2
29,212,39,0,6,2,39,0,0,29,41441,5,19,5.25,0
30,481,39,0,0,4,19,0,0,39,27855,6,10,3.033333333333333,0
31,408,76,0,0,33,118,0,0,44,108661,1,14,9.333333333333334,3
32,238,2,0,2,0,2,0,0,112,1868,3,14,10.7,0
33,32,39,0,0,3,47,1,1,103,38446,4,15,6.033333333333332,0
34,64,39,0,0,3,9,1,0,12,25787,0,16,8.633333333333333,0
35,336,39,0,0,11,83,0,1,58,70863,1,16,15.033333333333333,0
36,408,76,0,0,35,120,0,0,27,112320,5,17,7.433333333333334,3
37,238,2,0,0,2,6,1,0,80,8081,1,12,10.866666666666667,2
38,86,71,0,0,6,14,0,0,105,6318,1,18,22.23333333333333,0
