,org,tld,ccs,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,day,month,hour
0,244,2,4,0,1,15,1,0,50,9733,43,15,0.95
1,495,130,0,0,0,45,0,0,50,127388,45,24,1.9833333333333332
2,176,40,0,0,1,6,1,0,40,4003,45,23,12.033333333333333
3,120,101,0,6,13,46,0,0,24,21938,41,20,9.3
4,228,40,0,0,3,30,0,0,40,16854,43,22,12.916666666666664
5,101,40,0,0,7,35,1,0,45,21688,42,23,18.316666666666666
6,272,40,0,7,0,2,1,0,23,665,45,22,2.533333333333333
7,244,2,0,0,0,2,0,0,70,2445,45,24,14.3
8,244,2,1,0,0,3,1,0,36,9498,46,16,19.966666666666665
9,355,40,0,0,2,11,0,0,67,13748,44,25,5.433333333333334
10,244,2,2,0,0,3,1,0,35,9523,46,16,15.65
11,101,40,0,0,7,37,0,0,45,12123,42,17,6.966666666666668
12,355,40,0,0,1,27,0,0,27,25375,42,15,0.9
13,116,129,0,0,4,33,1,0,125,21223,41,24,21.93333333333333
14,312,40,0,0,4,19,0,0,31,5248,46,19,10.333333333333334
15,244,2,1,0,1,13,1,1,96,16183,46,25,3.95
16,392,40,0,0,1,86,1,1,67,76716,44,18,4.316666666666666
17,203,40,0,6,0,2,1,0,38,2392,43,22,0.9333333333333332
18,485,40,0,0,3,29,0,0,42,18709,43,14,8.866666666666667
19,521,40,0,0,26,96,0,0,105,70124,46,18,3.45
20,110,113,0,0,15,58,1,0,50,39650,41,17,15.583333333333336
21,203,39,0,6,2,18,1,0,54,6973,40,16,9.383333333333333
22,485,40,0,0,37,254,0,0,62,89520,40,25,21.766666666666666
23,116,129,0,0,6,29,0,1,57,25193,46,20,7.083333333333332
24,32,40,0,2,0,0,0,0,29,4,43,14,7.7666666666666675
25,120,143,0,0,34,145,0,0,56,27498,41,14,4.35
26,521,40,0,0,21,78,0,0,65,58060,42,20,1.6333333333333333
27,369,129,0,0,22,45,0,0,36,23509,31,26,0.0
28,392,40,0,0,1,113,1,0,58,90930,40,15,14.166666666666664
29,244,2,3,2,0,0,0,0,61,508309,40,18,15.75
30,8,49,0,0,25,94,1,0,68,43229,41,21,10.416666666666666
31,392,40,0,0,2,92,1,0,95,80224,44,18,4.633333333333333
32,326,119,0,7,0,2,1,0,45,822,45,15,14.633333333333333
33,120,143,0,0,27,122,0,0,48,23312,41,14,5.416666666666668
34,345,40,0,0,17,57,0,1,65,67163,44,25,11.983333333333333
35,317,40,0,5,1,47,1,0,19,13465,17,26,0.0
36,493,40,0,0,4,19,0,0,36,27168,40,25,11.183333333333335
37,244,2,0,2,0,2,0,0,67,315969,40,16,10.833333333333336
38,168,124,0,6,6,31,0,0,43,33382,45,25,19.0
39,355,49,0,0,0,182,1,0,33,99802,46,19,18.416666666666668
40,310,40,0,0,23,206,1,1,185,92857,41,16,7.4833333333333325
41,282,40,0,0,63,201,0,0,39,106119,41,25,8.016666666666667
42,203,39,0,6,2,9,0,0,37,1957,46,18,5.466666666666668
43,213,40,0,0,22,75,0,1,84,77856,45,22,11.066666666666665
44,392,40,0,0,8,110,1,0,97,83622,43,23,8.466666666666667
45,326,119,0,6,1,2,1,0,71,1250,46,20,21.9
46,120,101,0,6,18,54,0,0,32,24663,41,20,6.8
47,32,40,0,2,0,0,0,0,37,4,46,25,20.366666666666667
48,32,93,0,2,0,0,0,0,38,4,40,20,1.0166666666666666
49,312,40,0,0,0,12,0,0,50,4541,40,25,9.9
50,244,2,2,0,1,5,0,0,21,15592,41,23,15.65
51,355,129,0,0,1,48,0,0,56,21015,43,20,23.43333333333333
52,296,121,0,0,11,54,0,0,45,39052,40,25,9.316666666666666
53,244,2,3,0,0,0,0,0,14,149,46,15,21.816666666666666
54,203,40,0,6,1,6,1,0,56,7677,44,20,7.2333333333333325
55,355,40,0,6,0,0,1,0,45,581,46,16,11.716666666666667
56,32,93,0,2,0,0,0,0,99,4,41,14,10.666666666666666
57,244,2,2,0,0,2,1,0,34,2021,45,20,10.933333333333335
58,521,40,0,0,20,70,0,0,153,52463,46,19,12.35
59,414,77,0,6,12,34,0,0,23,26050,45,9,20.1
