,org,tld,ccs,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,day,month,hour,label
0,116,129,0,0,23,188,0,1,38,136818,44,21,1.95,0
1,220,40,0,0,1,6,0,0,44,2467,40,18,5.333333333333333,0
2,244,2,1,2,0,1,1,0,78,2809449,41,15,10.9,2
3,326,119,0,0,4,43,0,0,61,13775,40,21,3.7666666666666666,0
4,282,40,0,0,4,26,0,0,29,22601,44,20,3.85,1
5,244,2,0,0,0,28,1,0,37,15848,41,24,21.216666666666665,2
6,191,40,0,6,42,97,1,0,88,68612,41,18,2.466666666666667,3
7,32,40,0,0,9,74,1,1,82,41354,45,18,3.333333333333333,0
8,88,73,0,0,4,10,0,0,101,4294,44,15,11.75,0
9,244,2,3,0,0,0,1,0,38,2004,45,22,13.716666666666667,2
10,344,77,0,0,0,4,1,0,32,1210,40,14,15.533333333333333,0
11,220,40,0,6,4,20,0,0,35,7156,42,14,3.45,0
12,487,40,0,0,14,49,0,1,38,76759,42,23,10.566666666666666,3
13,477,40,0,0,12,51,0,0,66,75677,40,20,16.033333333333335,0
14,220,40,0,6,20,84,0,0,36,25021,44,20,5.316666666666666,0
15,186,40,0,0,4,16,0,0,33,11372,40,15,8.9,1
16,129,40,0,0,11,86,1,1,41,88241,45,25,17.3,3
17,240,129,0,0,8,42,0,1,30,38690,45,20,4.0,0
18,493,40,0,0,4,19,1,0,37,26965,42,23,11.116666666666667,0
19,244,2,0,0,0,35,1,0,106,42937,41,24,13.183333333333335,2
20,521,40,0,0,26,115,1,0,67,78421,44,20,23.61666666666667,1
21,244,2,0,0,0,7,1,1,50,10044,41,25,14.15,2
22,244,2,3,3,0,0,0,0,69,4254160,46,15,10.633333333333333,2
23,282,40,0,0,9,84,1,1,26,89712,46,21,1.0333333333333334,1
24,477,40,0,0,12,51,0,1,51,72438,40,21,18.3,0
25,432,40,0,0,1,12,0,0,39,11601,46,16,16.9,0
26,282,40,0,0,4,28,0,0,45,21103,44,17,4.35,1
27,244,2,0,2,4,24,1,1,78,34048351,41,16,12.616666666666667,2
28,244,2,0,0,0,9,1,0,48,27804,40,23,17.716666666666665,2
29,218,40,0,6,2,39,0,0,29,41441,45,24,5.25,0
30,493,40,0,0,4,19,0,0,39,27855,46,15,3.033333333333333,0
31,419,78,0,0,33,118,0,0,44,108661,41,19,9.333333333333334,3
32,244,2,0,2,0,2,0,0,112,1868,43,19,10.7,0
33,32,40,0,0,3,47,1,1,103,38446,44,20,6.033333333333332,0
34,65,40,0,0,3,9,1,0,12,25787,40,21,8.633333333333333,0
35,345,40,0,0,11,83,0,1,58,70863,41,21,15.033333333333333,0
36,419,78,0,0,35,120,0,0,27,112320,45,22,7.433333333333334,3
37,244,2,0,0,2,6,1,0,80,8081,41,17,10.866666666666667,2
38,88,73,0,0,6,14,0,0,105,6318,41,23,22.23333333333333,0
39,32,93,0,0,3,37,0,1,82,19627,42,19,2.25,3
40,65,53,0,2,0,0,0,0,12,276063,44,22,17.816666666666666,0
41,191,40,0,0,21,64,0,0,76,44044,44,23,0.65,3
42,244,2,3,0,0,0,1,0,39,1697,41,16,16.566666666666666,2
43,493,40,0,0,4,19,0,0,37,27148,45,15,14.816666666666665,0
44,392,40,0,0,15,104,0,1,65,100175,44,21,17.533333333333335,1
45,477,40,0,0,2,36,1,0,68,41371,46,19,10.15,0
46,344,77,0,0,0,4,1,0,32,1210,40,14,15.466666666666667,0
47,32,93,0,0,29,256,0,0,31,116494,41,19,6.716666666666668,3
48,485,40,0,0,16,140,0,0,70,84727,45,25,12.283333333333333,1
49,487,40,0,0,10,36,1,0,74,48813,40,23,10.383333333333333,3
50,32,93,0,2,0,0,0,0,113,4,44,25,6.55,3
51,216,40,0,0,0,9,0,0,116,11608,43,21,8.45,0
52,282,40,0,0,17,71,0,1,91,78901,46,25,18.5,1
53,220,40,0,6,6,28,0,0,36,8863,45,17,4.266666666666667,0
54,493,40,0,0,4,17,0,0,34,31414,46,25,21.03333333333333,0
55,312,40,0,0,4,17,0,0,88,7653,46,24,22.0,3
